SourceID,Classification,RA,Dec,Referenced
4000724283663,merger,184.2447228,-12.1455931,False
6000294542509,merger,194.754164,34.8828555,False
4000852873226,merger,44.308168,-23.4440713,False
4001310608049,lens,72.0916519,12.4655619,True
4001202993915,odd,25.3531305,-65.6022425,False
4001195841094,lens,150.6348135,2.0106598,True
4001102677944,unknown,35.2624613,35.9290167,False
4001133892990,merger,8.3589917,39.8992998,False
4000896311197,lens,43.1887227,-14.990031,False
4001451104249,jet,278.973684,52.6433049,False
6000381961109,arc,197.8660191,-1.3467045,True
6000225472709,arc,197.8914644,-1.3211106,True
4001272967168,lens,259.4331118,59.6078351,False
4001267679569,lens,39.9574927,-1.5917216,False
4000779767095,lens,157.30247780000002,26.3885273,False
4001253519816,odd,174.2342469,0.1025358,False
4001156774609,merger,264.542919,60.1201121,False
4000919661610,odd,149.89542580000003,2.3852079,True
4000984268617,merger,149.6348045,2.1138012,False
6000444355075,lens,150.2900736,2.3681697,True
4001103176972,merger,30.6213026,-76.3588485,False
4000958465692,merger,218.0132735,63.289786,False
4001262552490,lens,71.7652958,-46.089459,False
4000767895207,merger,148.2147146,68.87760209999999,False
4000749349566,unknown,73.5546761,2.9455287,False
4569748339,merger,12.9777548,33.0192897,False
4001088526005,unknown,40.1360899,-1.6639939,False
6000318285424,merger,277.7930016,62.2392479,False
4000766861392,merger,149.45733669999998,1.9609904,True
4001131320139,lens,79.9284841,-44.0301596,False
4001287740198,lens,189.3905969,62.1943571,True
4001185808413,merger,53.072291,-27.7188783,True
4000859731995,merger,14.6057112,38.0359888,False
4001120864244,merger,53.1508501,-27.7164516,True
4001018999296,merger,250.7873695,31.961292200000003,False
4001082867154,merger,158.785632,51.9931213,False
6000429168575,merger,88.3392335,-33.696358,False
4000920570770,merger,150.3252149,2.5730338,True
4001001757738,lens,53.2498294,-27.7274075,True
4001252833823,odd,185.4637201,-31.9725677,False
4001300488049,merger,155.28597,34.6006286,False
4001422820110,merger,185.8577945,-12.6619666,False
4001268925884,odd,238.1957384,64.5384602,False
4000895908375,lens,132.1389106,44.7422283,True
4000774297302,lens,204.4640321,36.33806320000001,True
6000405765607,odd,44.2388346,-16.5310628,False
4000969595426,arc,197.884607,-1.3538821,True
4001072664922,merger,149.7423229,2.1899088,True
